State,Stand_Age,Stand_Origin,Forest_type_group,tC,ac,tC_ac
Tennessee,0-20 years,Total,Other_hardwoods_group,753955.00,19875.00,37.93
South Carolina,21-40 years,Natural,Other eastern softwoods group,369195.00,9724.00,37.97
South Carolina,21-40 years,Total,Other eastern softwoods group,369195.00,9724.00,37.97
Texas,41-60 years,Natural,Woodland hardwoods group,249158209.00,6549901.00,38.04
Texas,41-60 years,Total,Woodland hardwoods group,249158209.00,6549901.00,38.04
Louisiana,21-40 years,Planted,Elm_ash_cottonwood_group,262708.00,6898.00,38.08
Louisiana,0-20 years,Natural,Oak_gum_cypress_group,9869483.00,259003.00,38.11
Alabama,0-20 years,Natural,Oak_pine_group,20478367.00,537074.00,38.13
Texas,0-20 years,Planted,Loblolly_shortleaf pine group,72994391.00,1909695.00,38.22
Texas,41-60 years,Natural,Total,684863090.00,17896173.00,38.27
Arkansas,0-20 years,Total,Oak_gum_cypress_group,10624440.00,277625.00,38.27
Louisiana,0-20 years,Planted,Total,125300448.00,3273434.00,38.28
Mississippi,0-20 years,Natural,Oak_pine_group,11189320.00,291907.00,38.33
Texas,41-60 years,Total,Total,687357894.00,17928726.00,38.34
Georgia,41-60 years,Natural,Other eastern softwoods group,308590.00,8045.00,38.36
Georgia,41-60 years,Total,Other eastern softwoods group,308590.00,8045.00,38.36
Oklahoma,61-80 years,Natural,Woodland hardwoods group,517730.00,13481.00,38.40
Oklahoma,61-80 years,Total,Woodland hardwoods group,517730.00,13481.00,38.40
Oklahoma,Total,Total,Oak_hickory group,259046122.00,6742934.00,38.42
Alabama,0-20 years,Planted,Elm_ash_cottonwood_group,1738319.00,45218.00,38.44
Oklahoma,Total,Natural,Oak_hickory group,256635742.00,6675779.00,38.44
Oklahoma,41-60 years,Natural,Woodland hardwoods group,3028229.00,78729.00,38.46
Oklahoma,41-60 years,Total,Woodland hardwoods group,3028229.00,78729.00,38.46
Alabama,0-20 years,Natural,Oak_gum_cypress_group,11191515.00,290700.00,38.50
Alabama,Total,Planted,Oak_pine_group,16879119.00,438311.00,38.51
Alabama,0-20 years,Total,Oak_gum_cypress_group,12675387.00,329114.00,38.51
Tennessee,0-20 years,Planted,Total,18847713.00,488935.00,38.55
Arkansas,Total,Planted,Oak_gum_cypress_group,5568736.00,144321.00,38.59
Alabama,0-20 years,Planted,Oak_gum_cypress_group,1483872.00,38414.00,38.63
Arkansas,21-40 years,Total,Oak_hickory_group,26790826.00,693477.00,38.63
Missouri,0-20 years,Natural,Total,16267798.00,420945.00,38.65
Arkansas,21-40 years,Natural,Oak_hickory_group,26224093.00,678226.00,38.67
Virginia,0-20 years,Total,Oak_hickory group,43225536.00,1117501.00,38.68
Missouri,61-80 years,Planted,Oak_hickory group,87446.00,2259.00,38.71
Kentucky,21-40 years,Natural,Other_eastern_softwoods_group,3678278.00,95008.00,38.72
Kentucky,21-40 years,Total,Other_eastern_softwoods_group,3678278.00,95008.00,38.72
Texas,21-40 years,Natural,Other hardwoods group,4637434.00,119752.00,38.73
Texas,21-40 years,Total,Other hardwoods group,4637434.00,119752.00,38.73
Arkansas,0-20 years,Planted,Total,94438370.00,2432402.00,38.83
Texas,0-20 years,Total,Loblolly_shortleaf pine group,90523418.00,2329003.00,38.87
South Carolina,0-20 years,Planted,Oak_hickory group,2372586.00,61038.00,38.87
Texas,Total,Planted,Oak_gum_cypress group,1230775.00,31632.00,38.91
Missouri,41-60 years,Natural,Exotic hardwoods group,136812.00,3512.00,38.96
Missouri,41-60 years,Total,Exotic hardwoods group,136812.00,3512.00,38.96
Missouri,Total,Natural,Exotic hardwoods group,136812.00,3512.00,38.96
Missouri,Total,Total,Exotic hardwoods group,136812.00,3512.00,38.96
Oklahoma,21-40 years,Natural,Elm_ash_cottonwood group,17006692.00,436546.00,38.96
